Unnamed: 0,Unnamed: 0.1,French,English
0,0,partie,part
2,2,chercher,search
3,3,seulement,only
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,frère,brother
9,9,laisser,let
10,10,car,because
11,11,mettre,to put
12,12,aucun,no
14,14,eux,them
15,15,ville,city
16,16,chaque,each
17,17,parlé,speak
18,18,arrivé,come
19,19,bébé,baby
20,20,longtemps,long time
21,21,heures,hours
23,24,revoir,meet again
24,25,aucune,any
25,26,place,square
26,27,parle,speak
27,28,compris,understood
28,29,étaient,were
29,30,attention,Warning
30,31,voici,here is
31,32,pourrais,could
32,33,affaire,case
33,34,donner,give
34,35,type,type
35,36,leurs,their
36,37,donné,given
37,38,train,train
38,39,corps,body
39,40,endroit,place
40,41,yeux,eyes
41,42,façon,way
42,43,écoute,listen
43,44,dont,whose
44,45,trouve,find
45,46,perdu,lost
46,47,main,hand
47,48,première,first
48,49,côté,side
49,50,pouvoir,power
50,51,vieux,old
51,52,tiens,here
52,53,matin,morning
53,54,tellement,so much
54,55,enfant,child
55,56,point,point
56,57,venu,came
57,58,suite,after
58,59,pardon,sorry
59,60,venez,come
60,61,devant,in front of
61,62,vers,towards
63,64,demandé,request
64,66,mis,placed
65,67,belle,beautiful
66,68,droit,law
67,69,aimerais,would like to
68,70,aujourd'hui,today
69,71,mari,husband
70,72,cause,cause
71,73,enfin,finally
72,74,espère,hope
73,75,eau,water
74,76,attendez,Wait
75,77,parti,left
76,78,nouvelle,new
77,79,boulot,job
78,80,arrêter,Stop
79,81,dirait,would say
81,83,compte,account
82,84,donne,given
83,85,loin,far
84,86,fin,end
85,87,croire,believe
86,88,chérie,sweetheart
88,90,plutôt,rather
89,91,aura,will have
90,93,jouer,to play
91,94,bureau,office
